Year,Make,Model,Variant,FuelType,Transmission,Location,Price,KMS_Driven,EMI_per_Month
2017,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",283000,39500,5057
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",559000,30000,9519
2022,Maruti,S-Presso  ,VXI (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",429000,28500,7305
2019,Maruti,Dzire  ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",623000,29500,10609
2021,Mahindra,Thar  ,LX 4 STR Hard Top Petrol AT 4WD,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1278000,29500,21977
2014,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",359000,120000,7704
2020,Maruti,S-Cross  ,Zeta 1.3,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",799000,85500,13606
2016,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",247000,94500,4496
2015,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",576000,101500,10484
2016,Maruti,Baleno  ,Delta 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",463000,109500,7884
2012,Nissan,Sunny  ,XL Diesel,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",312000,126500,11124
2019,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",481000,110000,8191
2018,Mahindra,XUV500  ,W6,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",862000,96500,15406
2020,Kia,Seltos  ,GTX Plus DCT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",1285000,107000,22099
2014,Honda,City  ,VX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",571000,140000,12254
2023,Maruti,Baleno  ,Alpha AMT Petrol,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",926000,17500,15769
2019,Hyundai,Elite i20 ,Asta (O) CVT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",710000,64500,12090
2018,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",559000,32500,9519
2022,Maruti,Wagon R 1.2,VXI (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",525000,23000,8940
2020,Hyundai,Aura  ,SX 1.2 Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",608000,31000,10353
2019,Maruti,S-Cross  ,Alpha 1.3,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",959000,51500,16331
2021,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",580000,55000,9877
2020,Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",606000,49500,10319
2018,Renault,Kwid  ,1.0 RXT AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",395000,24500,6726
2016,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",439000,42000,7475
2011,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",257000,52000,18557
2019,Hyundai,New Santro 1.1,Sportz MT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",402000,57500,6417
2021,Ford,Freestyle  ,Titanium 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",519000,61000,8838
2011,Hyundai,i20  ,Sportz 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",279000,67000,19935
2018,Hyundai,Grand i10 ,Sportz (O) 1.2 kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",415000,47500,7067
2020,Renault,Triber  ,RXZ AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",529000,61000,9008
2017,Maruti,Ignis  ,Zeta AMT Diesel,diesel,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",467000,80500,7952
2022,Renault,Duster  ,RXS Turbo,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",878000,47500,14951
2011,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",248000,66000,17720
2020,Hyundai,Verna  ,SX Opt Petrol,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1054000,53000,18126
2024,Hyundai,Exter  ,SX 1.2 CNG MT,petrol+cng,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",861000,25500,14662
2021,Maruti,S-Cross  ,Zeta AT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",929000,31000,15820
2022,Tata,Nexon  ,XZ Plus S,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",920000,45000,15667
2017,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",521000,39500,8872
2017,Hyundai,Grand i10 ,Magna 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",432000,43000,7356
2020,Maruti,S-Presso  ,VXI Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",421000,25500,7169
2021,Hyundai,Aura  ,SX 1.2 (O) Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",668000,55000,11375
2024,Maruti,Wagon R 1.2,ZXI Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",673000,14500,11460
2021,Hyundai,Verna  ,SX Opt Turbo Petrol,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1239000,28000,21308
2016,Honda,Amaze  ,1.2 SX i-VTEC,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",434000,70500,7390
2020,Renault,Duster  ,RXZ Turbo CVT Petrol,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",834000,71000,14202
2014,Maruti,Wagon R 1.0,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",307000,81500,6835
2018,Datsun,Redi-GO  ,S 1.0,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",255000,42500,9698
2017,Honda,WR-V  ,i-DTEC VX,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",678000,105000,11545
2013,Ford,EcoSport  ,Titanium 1.0 Ecoboost (Opt),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",446000,65000,12022
2020,MG,Hector  ,2.0 Sharp,diesel,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1333000,85000,22923
2023,Hyundai,Grand i10 Nios,Asta 1.2 AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",759000,14500,12925
2017,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",619000,49500,10541
2018,Maruti,Dzire  ,VDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",668000,75000,11375
2020,Renault,Kwid  ,1.0L RXT (O) AMT SCE,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",436000,37000,7424
2015,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",463000,52500,8427
2021,Kia,Seltos  ,HTX Plus D,diesel,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1325000,55000,22784
2022,Tata,Nexon  ,XZA Plus Premium Dark Edition AMT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1059000,37500,18212
2021,Tata,Nexon  ,XZA Plus Dualtone Roof AMT S,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",1032000,20000,17748
2017,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",512000,24500,8719
2018,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",284000,36000,5075
2021,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",562000,69500,9570
2019,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",447000,103000,7612
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",489000,66500,8327
2017,Maruti,Ciaz  ,Zeta 1.3 Diesel,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",619000,93000,10541
2019,Renault,Kwid  ,CLIMBER 1.0 AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",370000,97500,6300
2017,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",294000,80000,5006
2016,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",408000,106000,6948
2018,Honda,Jazz  ,VX Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",478000,100500,7631
2015,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",237000,105500,5276
2012,Honda,Brio  ,S MT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",273000,63500,9734
2018,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",512000,45000,8719
2022,Tata,Altroz  ,XZ 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",651000,74500,11086
2022,Tata,Altroz  ,XZ 1.2 MT Dual tone,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",721000,20000,12278
2021,Renault,Duster  ,RXZ Turbo CVT Petrol,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",998000,33500,16995
2021,Hyundai,Creta  ,SX Turbo DCT Petrol,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1368000,39500,23526
2019,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",373000,39000,6351
2019,Maruti,S-Presso  ,VXI Plus,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",390000,36500,6641
2019,Ford,Figo Aspire ,Titanium 1.5 Ti-VCT AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",528000,74000,8429
2017,Ford,EcoSport  ,Titanium 1.5L Ti-VCT AT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",647000,42000,11018
2015,Tata,Nano  ,Twist XT Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",174000,12500,3500
2016,Maruti,Swift  ,VXI (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",437000,97500,7441
2014,Hyundai,i20  ,Sportz 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",390000,142500,8370
2014,Hyundai,Grand i10 ,Sportz 1.1 CRDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",361000,95500,7747
2014,Ford,EcoSport  ,Ambiente 1.5 TDCi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",415000,106000,11186
2018,Maruti,Alto K10 ,VXi (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",305000,31000,5193
2014,Maruti,Swift Dzire ,ZDI,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",459000,86500,12372
2015,Ford,EcoSport  ,Titanium 1.5 TDCi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",472000,144500,8591
2016,Ford,EcoSport  ,Ambiente 1.5 TDCi,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",499000,108000,9083
2012,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",197000,60000,7641
2016,Honda,City  ,VX CVT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",595000,122000,10132
2022,Maruti,S-Presso  ,VXI Plus AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",512000,16000,8719
2017,Honda,Jazz  ,SV Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",498000,67500,7950
2017,Ford,EcoSport  ,Titanium 1.5L Ti-VCT AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",665000,59000,11324
2022,Hyundai,Aura  ,SX 1.2 Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",711000,19000,12107
2015,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",268000,27500,5100
2022,Hyundai,Venue  ,SX 1.2 Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",965000,29500,16433
2018,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",331000,17500,5915
2022,Renault,Kiger  ,RXZ AMT Dual Tone,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",760000,28000,12942
2019,Ford,Figo Aspire ,Titanium 1.5 Ti-VCT AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",572000,56500,9132
2017,Honda,WR-V  ,VX i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",645000,41500,10983
2017,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",254000,43500,4539
2013,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",206000,81500,5712
2021,Toyota,Glanza  ,V CVT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",757000,40000,12891
2014,Hyundai,Eon  ,Magna +,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",239000,69500,4808
2012,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",369000,62500,14034
2011,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",188000,80500,13433
2018,Volkswagen,Ameo  ,1.0 Highline Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",498000,100500,7950
2014,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",218000,40000,6045
2021,Kia,Sonet  ,GTX Plus 1.5,diesel,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",907000,114000,15445
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",460000,62000,7833
2020,Maruti,S-Cross  ,Zeta 1.3,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",978000,57000,16654
2021,Honda,City  ,ZX Petrol,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1059000,68000,18212
2019,Renault,Kwid  ,RXL,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",316000,44500,5381
2023,Maruti,Celerio  ,ZXI Plus,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",598000,21500,10183
2021,Maruti,Dzire  ,ZXI AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",687000,26500,11699
2014,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",243000,67000,5410
2022,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",759000,32500,12925
2021,Kia,Sonet  ,GTX Plus 1.5 AT,diesel,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",1129000,89500,19416
2023,Tata,Nexon  ,XMA Plus (S),petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",990000,31500,16859
2020,Maruti,Wagon R 1.2,ZXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",497000,38000,8463
2012,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",274000,47500,19578
2016,Hyundai,Creta  ,1.6 SX Plus Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",754000,132000,12840
2016,Hyundai,Creta  ,1.6 SX Plus Auto,diesel,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",850000,121000,14475
2013,Maruti,Swift  ,ZXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",427000,62500,11509
2016,Ford,EcoSport  ,Titanium 1.5L Ti-VCT AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",612000,131500,10422
2016,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",526000,126000,8957
2014,Ford,EcoSport  ,Trend 1.5 TDCi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",435000,100000,9335
2013,Volkswagen,Vento  ,1.6L Highline Diesel,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",421000,102500,10638
2020,Honda,City  ,ZX,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",849000,107000,14457
2015,Maruti,Swift Dzire ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",467000,57000,8500
2023,Tata,Tigor  ,Revotron XZA plus AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",748000,36500,12738
2022,Maruti,Celerio  ,VXI,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",524000,15000,8923
2021,Hyundai,Venue  ,SX Plus 1.0 Turbo DCT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",1033000,28000,17765
2021,Tata,Tigor  ,Revotron XZ+,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",651000,24000,11086
2015,Maruti,Ritz  ,Vxi BS-IV,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",344000,59000,5870
2021,Tata,Altroz  ,XZ Plus 1.2 Turbo DT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",726000,47500,12363
2017,Maruti,Ertiga  ,VXI AT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",729000,46000,12414
2017,Renault,Kwid  ,RXT 1.0 SCE Special,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",341000,35500,5807
2019,Renault,Kwid  ,1.0 RXT Opt,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",368000,26500,6266
2017,Ford,EcoSport  ,Trend 1.5L TDCi,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",552000,108000,9400
2014,Maruti,Ritz  ,Vxi BS-IV,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",281000,105500,5653
2020,Kia,Seltos  ,HTX G,petrol,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1032000,47500,17748
2011,Hyundai,i10  ,Sportz 1.2 AT Kappa2,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",288000,82000,20578
2015,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",424000,94000,7717
2019,Honda,City  ,VX CVT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",764000,117000,13010
2017,Honda,Jazz  ,VX Petrol,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",512000,112000,8174
2015,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",492000,145000,8955
2013,Maruti,Swift  ,VDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",332000,97000,8949
2015,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",399000,68000,7262
2016,Hyundai,Creta  ,1.6 SX Plus Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",795000,79500,13538
2018,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",336000,29500,6005
2022,Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",689000,20000,11733
2016,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",288000,86000,4904
2022,Honda,Amaze  ,1.2 VX CVT i-VTEC,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",740000,73000,12601
2021,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",591000,53500,10064
2022,Renault,Triber  ,RXZ,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",678000,32000,11545
2021,Renault,Kiger  ,RXZ 1.0 Turbo MT Dual Tone,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",759000,28000,12925
2022,Renault,Triber  ,RXZ AMT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",642000,30000,10932
2021,Nissan,Magnite  ,XL Turbo CVT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",644000,58500,10966
2013,Ford,EcoSport  ,Trend 1.5 TDCi,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",438000,119500,11806
2020,Tata,Nexon  ,XZ Plus Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",712000,84500,12124
2014,Maruti,Ritz  ,Vxi BS-IV,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",308000,109500,6197
2014,Maruti,Swift  ,VDi,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",425000,102500,9121
2016,Honda,City  ,SV CVT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",536000,97000,9127
2017,Datsun,GO  ,T,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",275000,41000,5902
2015,Hyundai,Elite i20 ,Asta 1.4 CRDI,diesel,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",537000,132000,9774
2015,Hyundai,i20 Active ,1.4 SX,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",544000,121000,9902
2018,Maruti,Ciaz  ,Zeta 1.4 AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",642000,96000,10932
2014,Maruti,Swift  ,VXI,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",402000,52500,8627
2017,Maruti,Celerio  ,ZXi AMT,petrol,automatic,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",397000,57500,6760
2015,Honda,Amaze  ,1.2 VX i-VTEC,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",476000,54500,8664
2017,Maruti,Alto 800 ,VXi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",316000,29500,5647
2019,Hyundai,Grand i10 ,Magna AT 1.2 Kappa VTVT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",582000,20500,9911
2020,Maruti,Wagon R 1.2,VXI (O),petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",457000,55500,7782
2016,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",267000,60500,4771
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",510000,39500,8685
2021,Kia,Sonet  ,HTX Plus 1.5,diesel,manual,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1083000,42000,18630
2015,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",259000,35000,4929
2016,Renault,Kwid  ,RXT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",292000,25500,4972
2013,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",255000,36000,7071
2014,Hyundai,Eon  ,Magna +,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",271000,41500,5452
2016,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",268000,56500,4563
2013,Volkswagen,Vento  ,1.6L Highline Diesel,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",436000,103000,11017
2018,Tata,Nexon  ,XZA Plus AMT Diesel,diesel,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",752000,103000,12806
2023,Maruti,Dzire  ,ZXI Plus,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",749000,95500,12755
2018,Maruti,Alto 800 ,LXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",248000,99000,4432
2018,Maruti,S-Cross  ,Alpha 1.3,diesel,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",815000,84000,13878
2019,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",534000,45000,9093
2019,Hyundai,Grand i10 ,Asta 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",540000,55000,9195
2023,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",959000,23000,16331
2018,Maruti,Ignis  ,Delta MT Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",418000,64500,7118
2020,Renault,Duster  ,RXZ Turbo Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",863000,45500,14696
2017,Maruti,Alto 800 ,LXI (O),petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",268000,53500,4789
2022,Maruti,Ciaz  ,Alpha Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",964000,26500,16416
2017,Hyundai,Elite i20 ,Asta 1.2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",605000,68500,10302
2018,Maruti,Vitara Brezza ,ZDi,diesel,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",784000,85000,13351
