Year,Make,Model,Variant,FuelType,Transmission,Location,Price,KMS_Driven,EMI_per_Month
2017,Tata,Zest  ,XT Petrol,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",419000,59500,7135
2013,Hyundai,i10  ,Sportz 1.2 Kappa2,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",284000,88000,7655
2018,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",510000,41000,8685
2022,Volkswagen,Taigun  ,Topline 1.0 TSI AT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1359000,42000,23364
2013,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",206000,51500,7990
2019,Renault,Kwid  ,RXL,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",320000,55500,5449
2017,Hyundai,Grand i10 ,Sportz 1.2 Kappa VTVT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",490000,38000,8344
2018,Nissan,Micra Active ,XV,petrol,manual,"Spinny Car Hub, DSL Virtue Mall, Hyderabad",358000,78000,6096
2016,Renault,Kwid  ,RXT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",275000,71500,4683
2016,Maruti,Alto 800 ,Vxi,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",265000,70500,4736
2017,Maruti,Baleno  ,Zeta 1.2,petrol,manual,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",602000,37500,10251
2021,Maruti,Vitara Brezza ,ZXi Plus,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",892000,31000,15190
2017,Maruti,Celerio  ,VXI (O) AMT,petrol,automatic,"Spinny Car Hub, D-Mart, Madhapur, Hyderabad",392000,59000,6675
2018,BMW,X1  ,sDrive20d xLine,diesel,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",2300000,62000,39556
2014,Honda,CR-V  ,2.0L 2WD AT,petrol,automatic,"Spinny Car Hub, Phoenix Trivium, Hyderabad",674000,131500,14465
2013,Maruti,Alto K10 ,VXi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",205000,86500,5525
2015,Honda,Brio  ,VX MT,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",372000,76500,6348
2014,Maruti,Alto 800 ,Lxi,petrol,manual,"Spinny Car Hub, Phoenix Trivium, Hyderabad",233000,32000,6461
2020,Kia,Seltos  ,GTX Plus DCT,petrol,automatic,"Spinny Car Hub, Forum Sujana Mall, Hyderabad",1482000,35500,25487
